0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,LONGITUDE,LATITUDE,ALTITUDE,FLOOR,BUILDINGID
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-44.0,100.0,100.0,100.0,100.0,100.0,-91.0,100.0,-87.0,-89.0,-47.0,-84.0,100.0,100.0,-81.0,100.0,100.0,-84.0,100.0,100.0,100.0,-75.0,100.0,100.0,100.0,100.0,100.0,100.0,-74.0,100.0,100.0,-84.0,100.0,-84.0,-83.0,100.0,100.0,-85.0,-88.0,-84.0,100.0,100.0,-85.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0,100.0,100.0,-47.0,100.0,-44.0,100.0,100.0,100.0,100.0,-75.0,100.0,-87.0,-75.0,-87.0,-87.0,-83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.1253779,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-83.0,100.0,-89.0,-77.0,100.0,100.0,-54.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-43.0,100.0,100.0,100.0,-73.0,100.0,100.0,-73.0,100.0,100.0,100.0,-67.0,100.0,100.0,100.0,100.0,100.0,100.0,-75.0,100.0,100.0,-74.0,100.0,-76.0,100.0,100.0,100.0,-80.0,100.0,100.0,100.0,100.0,-89.0,-90.0,100.0,100.0,100.0,100.0,100.0,-93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-86.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-85.0,100.0,100.0,-54.0,100.0,100.0,100.0,100.0,-65.0,100.0,-83.0,-72.0,100.0,-93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.514917892,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-86.0,100.0,-91.0,-77.0,100.0,100.0,-55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-44.0,100.0,100.0,100.0,-77.0,100.0,-95.0,-77.0,100.0,100.0,100.0,-72.0,100.0,100.0,100.0,100.0,100.0,100.0,-79.0,100.0,100.0,-71.0,100.0,-75.0,100.0,100.0,100.0,-79.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-89.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-86.0,-85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,-47.0,100.0,-56.0,100.0,100.0,100.0,100.0,-74.0,100.0,-79.0,-77.0,100.0,100.0,-85.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.514917892,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-85.0,100.0,-91.0,-77.0,100.0,100.0,-55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-44.0,100.0,100.0,100.0,-76.0,100.0,100.0,-77.0,100.0,100.0,100.0,-72.0,100.0,100.0,100.0,100.0,100.0,100.0,-78.0,100.0,100.0,-75.0,100.0,-76.0,100.0,100.0,100.0,-79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-87.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,100.0,-55.0,100.0,100.0,100.0,100.0,-71.0,100.0,-78.0,-78.0,100.0,-93.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.514917892,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-87.0,100.0,-88.0,-75.0,100.0,100.0,-52.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-45.0,100.0,100.0,100.0,-79.0,100.0,100.0,-78.0,100.0,100.0,100.0,-73.0,100.0,100.0,100.0,100.0,100.0,100.0,-75.0,100.0,100.0,-76.0,100.0,-76.0,100.0,100.0,100.0,-79.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-86.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,100.0,-52.0,100.0,100.0,-92.0,100.0,-74.0,100.0,-81.0,-76.0,100.0,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.514917892,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-84.0,100.0,100.0,-80.0,100.0,100.0,-55.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-44.0,100.0,100.0,100.0,-82.0,100.0,-96.0,-82.0,100.0,100.0,100.0,-72.0,100.0,100.0,100.0,100.0,100.0,100.0,-78.0,100.0,100.0,-75.0,100.0,-74.0,100.0,100.0,100.0,-83.0,-93.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-87.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-81.0,100.0,-84.0,100.0,100.0,-55.0,100.0,100.0,-87.0,100.0,-72.0,100.0,-81.0,-75.0,100.0,-93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.514917892,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-86.0,100.0,-88.0,-77.0,100.0,100.0,-57.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-45.0,100.0,100.0,100.0,-79.0,100.0,100.0,-80.0,100.0,100.0,100.0,-71.0,100.0,100.0,100.0,100.0,100.0,100.0,-77.0,100.0,100.0,-74.0,100.0,-74.0,100.0,100.0,100.0,-84.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,-85.0,100.0,100.0,-57.0,100.0,100.0,-91.0,100.0,-72.0,100.0,-84.0,-75.0,-89.0,100.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7.514917892,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-86.0,100.0,-86.0,100.0,100.0,100.0,-68.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,-62.0,100.0,100.0,100.0,-79.0,100.0,100.0,-77.0,100.0,100.0,100.0,-69.0,100.0,100.0,100.0,100.0,100.0,100.0,-73.0,100.0,100.0,-81.0,100.0,-82.0,-83.0,100.0,100.0,-80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-85.0,100.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-89.0,-84.0,100.0,100.0,-67.0,100.0,100.0,-87.0,100.0,-71.0,100.0,-80.0,-71.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.90445788,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,-89.0,100.0,100.0,100.0,-70.0,100.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,-67.0,100.0,100.0,100.0,-85.0,100.0,100.0,100.0,-87.0,100.0,100.0,-72.0,100.0,100.0,100.0,100.0,100.0,100.0,-73.0,100.0,100.0,-80.0,100.0,-81.0,-81.0,100.0,100.0,-79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,-93.0,100.0,-93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,-86.0,100.0,100.0,-69.0,100.0,100.0,-90.0,100.0,-71.0,100.0,-82.0,-72.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.90445788,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,-91.0,-89.0,100.0,100.0,100.0,100.0,100.0,-72.0,100.0,100.0,100.0,-85.0,100.0,100.0,100.0,100.0,100.0,-69.0,100.0,100.0,100.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,-69.0,100.0,100.0,100.0,100.0,100.0,100.0,-76.0,100.0,100.0,-80.0,100.0,-82.0,-84.0,100.0,100.0,-78.0,-93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,-87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-93.0,100.0,-88.0,100.0,100.0,100.0,-70.0,100.0,100.0,-87.0,100.0,-71.0,100.0,-80.0,-77.0,100.0,-92.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.90445788,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-88.0,100.0,-87.0,100.0,100.0,100.0,-69.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-70.0,100.0,100.0,100.0,-85.0,100.0,100.0,-85.0,100.0,100.0,100.0,-71.0,100.0,100.0,100.0,100.0,100.0,100.0,-76.0,100.0,100.0,-80.0,100.0,-83.0,-85.0,100.0,100.0,-79.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-85.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,100.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,-87.0,100.0,100.0,-71.0,100.0,100.0,-88.0,100.0,-70.0,100.0,-79.0,-76.0,100.0,-93.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.90445788,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,-93.0,-89.0,100.0,-71.0,100.0,100.0,100.0,-83.0,100.0,100.0,100.0,100.0,100.0,-61.0,100.0,100.0,100.0,-86.0,100.0,100.0,-84.0,-89.0,100.0,100.0,-69.0,100.0,100.0,100.0,100.0,100.0,100.0,-76.0,100.0,100.0,-81.0,100.0,-80.0,100.0,100.0,100.0,-83.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,100.0,100.0,100.0,-88.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,-86.0,-70.0,100.0,-71.0,100.0,100.0,-84.0,100.0,-70.0,100.0,-81.0,-77.0,-89.0,-91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.90445788,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,-91.0,-89.0,100.0,-87.0,100.0,-86.0,100.0,-68.0,100.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,-63.0,100.0,100.0,100.0,-85.0,100.0,100.0,-86.0,-83.0,100.0,100.0,-70.0,100.0,100.0,100.0,100.0,100.0,100.0,-72.0,100.0,100.0,-82.0,100.0,-80.0,-78.0,100.0,100.0,-82.0,-93.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0,-87.0,-83.0,100.0,100.0,100.0,-91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-91.0,-89.0,100.0,100.0,-70.0,-94.0,-85.0,-86.0,100.0,-71.0,100.0,-77.0,-72.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.90445788,16.69080327,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,-80.0,100.0,-88.0,100.0,100.0,-65.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.0,100.0,-61.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-83.0,100.0,100.0,100.0,100.0,100.0,100.0,-83.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0,100.0,100.0,100.0,100.0,-65.0,100.0,100.0,100.0,100.0,-84.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.1253779,18.478907377,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,-83.0,-91.0,-89.0,100.0,100.0,-66.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,-86.0,100.0,-61.0,-87.0,100.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0,100.0,-83.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0,100.0,100.0,-94.0,100.0,100.0,100.0,100.0,100.0,-92.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,-83.0,100.0,100.0,100.0,100.0,-67.0,100.0,100.0,100.0,100.0,-84.0,100.0,-90.0,-82.0,-89.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.1253779,18.478907377,11.100000000000001,3.0,0.0
100.0,100.0,100.0,100.0,100.0,100.0,-82.0,100.0,-87.0,100.0,100.0,-66.0,100.0,100.0,100.0,100.0,100.0,-92.0,100.0,-85.0,-92.0,-61.0,-86.0,100.0,100.0,-86.0,100.0,100.0,-84.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0,100.0,100.0,-81.0,100.0,100.0,-92.0,100.0,-93.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0,100.0,100.0,-62.0,100.0,-66.0,100.0,100.0,100.0,100.0,-85.0,100.0,100.0,-82.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.1253779,18.478907377,11.100000000000001,3.0,0.0
